
Election présidentielle 2022
Période du 11 au 17 avril 2022
Temps de parole sur MACRON EMMANUEL

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:01:12;00:30:07;00:00:00;
TF1;Soutiens;00:00:00;00:00:32;00:04:38;00:00:00;
TF1;"Total temps de parole";00:00:00;00:01:44;00:34:45;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:09:10;00:44:52;00:00:00;
France2;Candidat;00:19:45;00:01:59;00:05:55;00:00:00;
France2;Soutiens;00:20:45;00:02:33;00:03:58;00:00:00;
France2;"Total temps de parole";00:40:30;00:04:32;00:09:53;00:00:00;
France2;"Total temps d'antenne";01:15:52;00:14:02;00:22:05;00:00:00;
France3;Candidat;00:00:00;00:02:20;00:02:32;00:00:00;
France3;Soutiens;00:00:00;00:13:32;00:02:29;00:00:00;
France3;"Total temps de parole";00:00:00;00:15:52;00:05:01;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:25:32;00:16:21;00:00:00;
France5;Candidat;00:00:00;00:03:10;00:12:53;00:03:10;
France5;Soutiens;00:00:00;00:01:03;00:53:46;00:24:57;
France5;"Total temps de parole";00:00:00;00:04:13;01:06:39;00:28:07;
France5;"Total temps d'antenne";00:00:00;00:07:29;01:25:24;00:29:38;
M6;Candidat;00:00:00;00:01:04;00:01:47;00:00:00;
M6;Soutiens;00:00:00;00:00:35;00:00:30;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:39;00:02:17;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:11:14;00:14:07;00:00:00;
C8;Candidat;00:00:00;00:00:53;00:01:31;00:00:00;
C8;Soutiens;00:00:00;00:00:33;00:52:31;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:26;00:54:02;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:08:00;01:15:28;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:15:40;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:04:30;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:20:10;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;01:30:51;00:00:00;
BFMTV;Candidat;00:11:40;04:02:03;02:21:25;00:56:14;
BFMTV;Soutiens;01:24:13;02:26:03;02:00:41;00:27:29;
BFMTV;"Total temps de parole";01:35:53;06:28:06;04:22:06;01:23:43;
BFMTV;"Total temps d'antenne";02:22:45;11:07:20;07:02:44;03:05:48;
Cnews;Candidat;00:13:17;03:48:07;00:54:21;00:34:00;
Cnews;Soutiens;01:07:22;03:42:14;01:55:30;00:07:00;
Cnews;"Total temps de parole";01:20:39;07:30:21;02:49:51;00:41:00;
Cnews;"Total temps d'antenne";02:45:04;11:04:19;04:56:26;01:54:22;
RMCDecouverte;Candidat;00:06:53;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:09:03;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:15:56;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:20:53;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:06:50;03:22:10;00:32:09;00:07:43;
